timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1543437486526,464,getAllPersonRequestLoad,200,OK,Grupa wątków 2-1,text,true,,321,131,100,101,463,0,1
1543437485410,1581,getAllPersonRequestLoad,200,OK,Grupa wątków 2-43,text,true,,321,131,100,101,1580,0,1008
1543437486451,543,getAllPersonRequestLoad,200,OK,Grupa wątków 2-93,text,true,,321,131,100,101,543,0,1
1543437486403,592,getAllPersonRequestLoad,200,OK,Grupa wątków 2-61,text,true,,321,131,100,101,591,0,1
1543437485412,1584,getAllPersonRequestLoad,200,OK,Grupa wątków 2-41,text,true,,321,131,100,101,1584,0,1008
1543437486436,562,getAllPersonRequestLoad,200,OK,Grupa wątków 2-99,text,true,,321,131,100,101,562,0,0
1543437486379,621,getAllPersonRequestLoad,200,OK,Grupa wątków 2-95,text,true,,321,131,100,101,621,0,0
1543437485842,1195,getAllPersonRequestLoad,200,OK,Grupa wątków 2-16,text,true,,321,131,100,101,1195,0,503
1543437486434,617,getAllPersonRequestLoad,200,OK,Grupa wątków 2-12,text,true,,321,131,100,101,617,0,1
1543437485424,1628,getAllPersonRequestLoad,200,OK,Grupa wątków 2-33,text,true,,321,131,100,101,1627,0,1001
1543437485418,1635,getAllPersonRequestLoad,200,OK,Grupa wątków 2-29,text,true,,321,131,100,101,1635,0,1002
1543437486361,694,getAllPersonRequestLoad,200,OK,Grupa wątków 2-6,text,true,,321,131,100,101,694,0,1
1543437486739,316,getAllPersonRequestLoad,200,OK,Grupa wątków 2-54,text,true,,321,131,100,101,316,0,0
1543437486555,503,getAllPersonRequestLoad,200,OK,Grupa wątków 2-73,text,true,,321,131,100,101,503,0,0
1543437486623,435,getAllPersonRequestLoad,200,OK,Grupa wątków 2-80,text,true,,321,131,100,101,435,0,0
1543437486542,518,getAllPersonRequestLoad,200,OK,Grupa wątków 2-40,text,true,,321,131,100,101,518,0,0
1543437486652,409,getAllPersonRequestLoad,200,OK,Grupa wątków 2-15,text,true,,321,131,100,101,408,0,0
1543437486745,330,getAllPersonRequestLoad,200,OK,Grupa wątków 2-39,text,true,,321,131,100,101,330,0,0
1543437486746,329,getAllPersonRequestLoad,200,OK,Grupa wątków 2-24,text,true,,321,131,100,101,329,0,1
1543437486747,329,getAllPersonRequestLoad,200,OK,Grupa wątków 2-31,text,true,,321,131,100,101,328,0,1
1543437486748,330,getAllPersonRequestLoad,200,OK,Grupa wątków 2-19,text,true,,321,131,100,101,330,0,1
1543437486750,330,getAllPersonRequestLoad,200,OK,Grupa wątków 2-65,text,true,,321,131,100,101,330,0,1
1543437486755,329,getAllPersonRequestLoad,200,OK,Grupa wątków 2-10,text,true,,321,131,100,101,329,0,0
1543437486757,327,getAllPersonRequestLoad,200,OK,Grupa wątków 2-46,text,true,,321,131,100,101,327,0,1
1543437486758,328,getAllPersonRequestLoad,200,OK,Grupa wątków 2-59,text,true,,321,131,100,101,328,0,1
1543437486761,329,getAllPersonRequestLoad,200,OK,Grupa wątków 2-48,text,true,,321,131,100,101,329,0,0
1543437486762,329,getAllPersonRequestLoad,200,OK,Grupa wątków 2-94,text,true,,321,131,100,101,329,0,1
1543437486765,341,getAllPersonRequestLoad,200,OK,Grupa wątków 2-42,text,true,,321,131,100,101,340,0,4
1543437486772,337,getAllPersonRequestLoad,200,OK,Grupa wątków 2-20,text,true,,321,131,100,101,337,0,0
1543437486775,337,getAllPersonRequestLoad,200,OK,Grupa wątków 2-72,text,true,,321,131,100,101,337,0,0
1543437486777,344,getAllPersonRequestLoad,200,OK,Grupa wątków 2-38,text,true,,321,131,100,101,344,0,1
1543437486779,345,getAllPersonRequestLoad,200,OK,Grupa wątków 2-75,text,true,,321,131,100,101,345,0,0
1543437486780,349,getAllPersonRequestLoad,200,OK,Grupa wątków 2-17,text,true,,321,131,100,101,349,0,1
1543437486803,335,getAllPersonRequestLoad,200,OK,Grupa wątków 2-14,text,true,,321,131,100,101,335,0,3
1543437486789,356,getAllPersonRequestLoad,200,OK,Grupa wątków 2-64,text,true,,321,131,100,101,356,0,1
1543437486806,340,getAllPersonRequestLoad,200,OK,Grupa wątków 2-89,text,true,,321,131,100,101,340,0,1
